2020-07-31 16:57:27 status half-configured ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:57:27 status installed ncurses-base:all 6.2-0ubuntu2
2020-07-31 16:57:27 configure sensible-utils:all 0.0.12+nmu1 <none>
2020-07-31 16:57:27 status unpacked sensible-utils:all 0.0.12+nmu1
2020-07-31 16:57:27 status half-configured sensible-utils:all 0.0.12+nmu1
2020-07-31 16:57:27 status installed sensible-utils:all 0.0.12+nmu1
2020-07-31 16:57:27 configure libcrypt1:armhf 1:4.4.10-10ubuntu4 <none>
2020-07-31 16:57:27 status unpacked libcrypt1:armhf 1:4.4.10-10ubuntu4
2020-07-31 16:57:27 status half-configured libcrypt1:armhf 1:4.4.10-10ubuntu4
2020-07-31 16:57:27 status installed libcrypt1:armhf 1:4.4.10-10ubuntu4
2020-07-31 16:57:27 configure libgcc-s1:armhf 10-20200411-0ubuntu1 <none>
2020-07-31 16:57:27 status unpacked libgcc-s1:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:27 status half-configured libgcc-s1:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:27 status installed libgcc-s1:armhf 10-20200411-0ubuntu1
2020-07-31 16:57:27 configure libc6:armhf 2.31-0ubuntu9 <none>
2020-07-31 16:57:27 status unpacked libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:27 status half-configured libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:28 status installed libc6:armhf 2.31-0ubuntu9
2020-07-31 16:57:28 configure libudev1:armhf 245.4-4ubuntu3 <none>
2020-07-31 16:57:28 status unpacked libudev1:armhf 245.4-4ubuntu3
2020-07-31 16:57:28 status half-configured libudev1:armhf 245.4-4ubuntu3
2020-07-31 16:57:28 status installed libudev1:armhf 245.4-4ubuntu3
2020-07-31 16:57:28 configure libsepol1:armhf 3.0-1 <none>
2020-07-31 16:57:28 status unpacked libsepol1:armhf 3.0-1
2020-07-31 16:57:28 status half-configured libsepol1:armhf 3.0-1
2020-07-31 16:57:28 status installed libsepol1:armhf 3.0-1
2020-07-31 16:57:28 configure libattr1:armhf 1:2.4.48-5 <none>
2020-07-31 16:57:28 status unpacked libattr1:armhf 1:2.4.48-5
2020-07-31 16:57:28 status half-configured libattr1:armhf 1:2.4.48-5
2020-07-31 16:57:28 status installed libattr1:armhf 1:2.4.48-5
